ItemType	Code	Equiv1	Equiv2	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
o721	o721			id231 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o722	o722			id231 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o723	o723			id231 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o724	o724			id231 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o725	o725			id231 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o726	o726			id231 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o727	o727			id231 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o728	o728			id231 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o729	o729			id231 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o730	o730			id231 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o731	o731			id231 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o732	o732			id231 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o733	o733			id231 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o734	o734			id231 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o735	o735			id231 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o736	o736			id231 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o737	o737			id232 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o738	o738			id232 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o739	o739			id232 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o740	o740			id232 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o741	o741			id232 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o742	o742			id232 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o743	o743			id232 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o744	o744			id232 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o745	o745			id232 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o746	o746			id232 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o747	o747			id232 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o748	o748			id232 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o749	o749			id232 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o750	o750			id232 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o751	o751			id232 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o752	o752			id232 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o753	o753			id232 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o754	o754			id232 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o755	o755			id232 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o756	o756			id232 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o757	o757			id232 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o758	o758			id232 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o759	o759			id232 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o760	o760			id232 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o761	o761			id232 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o762	o762			id232 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o763	o763			id232 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o764	o764			id232 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o765	o765			id232 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o766	o766			id232 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o767	o767			id232 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o768	o768			id232 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o769	o769			id232 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o770	o770			id232 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o771	o771			id232 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o772	o772			id232 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o773	o773			id232 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o774	o774			id232 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o775	o775			id232 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o776	o776			id232 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o777	o777			id232 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o778	o778			id232 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o779	o779			id232 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o780	o780			id232 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o781	o781			id232 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o782	o782			id232 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o783	o783			id232 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o784	o784			id232 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o785	o785			id232 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o786	o786			id232 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o787	o787			id232 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o788	o788			id232 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o789	o789			id232 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o790	o790			id232 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o791	o791			id232 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o792	o792			id232 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o793	o793			id232 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o794	o794			id232 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o795	o795			id232 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o796	o796			id232 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o797	o797			id232 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o798	o798			id232 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o799	o799			id232 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o800	o800			id232 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o801	o801			id233 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o802	o802			id233 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o803	o803			id233 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o804	o804			id233 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o805	o805			id233 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o806	o806			id233 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o807	o807			id233 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o808	o808			id233 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o809	o809			id233 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o810	o810			id233 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o811	o811			id233 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o812	o812			id233 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o813	o813			id233 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o814	o814			id233 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o815	o815			id233 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o816	o816			id233 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o817	o817			id233 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o818	o818			id233 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o819	o819			id233 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o820	o820			id233 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o821	o821			id233 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o822	o822			id233 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o823	o823			id233 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o824	o824			id233 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o825	o825			id233 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o826	o826			id233 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o827	o827			id233 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o828	o828			id233 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o829	o829			id233 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o830	o830			id233 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o831	o831			id233 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o832	o832			id233 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o833	o833			id233 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o834	o834			id233 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o835	o835			id233 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o836	o836			id233 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o837	o837			id233 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o838	o838			id233 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o839	o839			id233 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o840	o840			id233 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o841	o841			id233 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o842	o842			id233 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o843	o843			id233 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o844	o844			id233 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o845	o845			id233 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o846	o846			id233 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o847	o847			id233 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o848	o848			id233 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o849	o849			id233 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o850	o850			id233 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o851	o851			id233 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o852	o852			id233 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o853	o853			id233 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o854	o854			id233 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o855	o855			id233 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o856	o856			id233 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o857	o857			id233 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o858	o858			id233 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o859	o859			id233 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o860	o860			id233 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o861	o861			id233 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o862	o862			id233 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o863	o863			id233 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o864	o864			id233 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o865	o865			id234 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o866	o866			id234 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o867	o867			id234 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o868	o868			id234 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o869	o869			id234 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o870	o870			id234 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o871	o871			id234 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o872	o872			id234 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o873	o873			id234 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o874	o874			id234 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o875	o875			id234 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o876	o876			id234 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o877	o877			id234 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o878	o878			id234 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o879	o879			id234 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o880	o880			id234 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o881	o881			id234 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o882	o882			id234 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o883	o883			id234 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o884	o884			id234 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o885	o885			id234 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o886	o886			id234 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o887	o887			id234 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o888	o888			id234 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o889	o889			id234 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o890	o890			id234 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o891	o891			id234 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o892	o892			id234 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o893	o893			id234 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o894	o894			id234 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o895	o895			id234 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o896	o896			id234 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o897	o897			id234 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o898	o898			id234 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o899	o899			id234 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o900	o900			id234 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o901	o901			id234 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o902	o902			id234 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o903	o903			id234 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o904	o904			id234 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o905	o905			id234 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o906	o906			id234 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o907	o907			id234 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o908	o908			id234 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o909	o909			id234 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o910	o910			id234 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o911	o911			id234 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o912	o912			id234 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o913	o913			id234 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o914	o914			id234 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o915	o915			id234 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o916	o916			id234 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o917	o917			id234 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o918	o918			id234 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o919	o919			id234 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o920	o920			id234 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o921	o921			id234 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o922	o922			id234 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o923	o923			id234 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o924	o924			id234 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o925	o925			id234 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o926	o926			id234 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o927	o927			id234 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o928	o928			id234 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o929	o929			id235 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o930	o930			id235 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o931	o931			id235 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o932	o932			id235 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o933	o933			id235 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o934	o934			id235 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o935	o935			id235 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o936	o936			id235 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o937	o937			id235 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o938	o938			id235 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o939	o939			id235 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o940	o940			id235 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o941	o941			id235 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o942	o942			id235 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o943	o943			id235 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o944	o944			id235 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o945	o945			id235 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o946	o946			id235 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o947	o947			id235 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o948	o948			id235 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o949	o949			id235 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o950	o950			id235 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o951	o951			id235 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o952	o952			id235 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o953	o953			id235 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o954	o954			id235 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o955	o955			id235 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o956	o956			id235 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o957	o957			id235 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o958	o958			id235 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o959	o959			id235 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o960	o960			id235 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o961	o961			id235 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o962	o962			id235 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o963	o963			id235 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o964	o964			id235 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o965	o965			id235 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o966	o966			id235 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o967	o967			id235 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o968	o968			id235 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o969	o969			id235 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o970	o970			id235 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o971	o971			id235 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o972	o972			id235 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o973	o973			id235 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o974	o974			id235 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o975	o975			id235 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o976	o976			id235 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o977	o977			id235 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o978	o978			id235 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o979	o979			id235 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o980	o980			id235 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o981	o981			id235 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o982	o982			id235 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o983	o983			id235 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o984	o984			id235 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o985	o985			id235 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o986	o986			id235 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o987	o987			id235 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o988	o988			id235 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o989	o989			id235 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o990	o990			id235 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o991	o991			id235 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o992	o992			id235 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o993	o993			id236 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o994	o994			id236 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o995	o995			id236 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o996	o996			id236 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o997	o997			id236 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o998	o998			id236 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
o999	o999			id236 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p000	p000			id236 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p001	p001			id236 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p002	p002			id236 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p003	p003			id236 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p004	p004			id236 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p005	p005			id236 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p006	p006			id236 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p007	p007			id236 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p008	p008			id236 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p009	p009			id236 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p010	p010			id236 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p011	p011			id236 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
p012	p012			id236 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
